season,team,games,wins,losses,pf,pa,conf,team_id,name,wins_espn,losses_espn,points_for,points_against,espn_seed,pf_gap,pa_gap
2021,ATL,72,41,31,8186,8019,Eastern,1,Atlanta Hawks,41,31,8186,8019,5,0,0
2021,BKN,72,48,24,8537,8213,Eastern,17,Brooklyn Nets,48,24,8537,8213,2,0,0
2021,BOS,72,36,36,8109,8004,Eastern,2,Boston Celtics,36,36,8109,8004,7,0,0
2021,CHA,72,33,39,7881,8020,Eastern,30,Charlotte Hornets,33,39,7881,8020,10,0,0
2021,CHI,72,31,41,7969,8033,Eastern,4,Chicago Bulls,31,41,7969,8033,11,0,0
2021,CLE,72,22,50,7476,8084,Eastern,5,Cleveland Cavaliers,22,50,7476,8084,13,0,0
2021,DAL,72,42,30,8096,7933,Western,6,Dallas Mavericks,42,30,8094,7933,5,2,0
2021,DEN,72,47,25,8284,7929,Western,7,Denver Nuggets,47,25,8284,7929,3,0,0
2021,DET,72,20,52,7676,7998,Eastern,8,Detroit Pistons,20,52,7676,7998,15,0,0
2021,GS,72,39,33,8187,8111,Western,9,Golden State Warriors,39,33,8187,8111,9,0,0
2021,HOU,72,17,55,7833,8402,Western,10,Houston Rockets,17,55,7833,8402,15,0,0
2021,IND,72,34,38,8302,8305,Eastern,11,Indiana Pacers,34,38,8302,8303,9,0,2
2021,LAC,72,47,25,8209,7764,Western,12,LA Clippers,47,25,8209,7764,4,0,0
2021,LAL,72,42,30,7887,7686,Western,13,Los Angeles Lakers,42,30,7887,7686,7,0,0
2021,MEM,72,38,34,8157,8083,Western,29,Memphis Grizzlies,38,34,8157,8083,8,0,0
2021,MIA,72,40,32,7781,7779,Eastern,14,Miami Heat,40,32,7781,7779,6,0,0
2021,MIL,72,46,26,8649,8225,Eastern,15,Milwaukee Bucks,46,26,8649,8225,3,0,0
2021,MIN,72,23,49,8073,8473,Western,16,Minnesota Timberwolves,23,49,8073,8473,13,0,0
2021,NO,72,31,41,8251,8272,Western,3,New Orleans Pelicans,31,41,8251,8272,11,0,0
2021,NY,72,41,31,7706,7540,Eastern,18,New York Knicks,41,31,7706,7540,4,0,0
2021,OKC,72,22,50,7560,8326,Western,25,Oklahoma City Thunder,22,50,7560,8326,14,0,0
2021,ORL,72,21,51,7488,8158,Eastern,19,Orlando Magic,21,51,7488,8158,14,0,0
2021,PHI,72,49,23,8182,7780,Eastern,20,Philadelphia 76ers,49,23,8182,7780,1,0,0
2021,PHX,72,51,21,8300,7881,Western,21,Phoenix Suns,51,21,8300,7881,2,0,0
2021,POR,72,42,30,8360,8231,Western,22,Portland Trail Blazers,42,30,8360,8231,6,0,0
2021,SA,72,33,39,7998,8123,Western,24,San Antonio Spurs,33,39,7998,8123,10,0,0
2021,SAC,72,31,41,8189,8454,Western,23,Sacramento Kings,31,41,8189,8454,12,0,0
2021,TOR,72,27,45,8011,8045,Eastern,28,Toronto Raptors,27,45,8011,8045,12,0,0
2021,UTAH,72,52,20,8382,7716,Western,26,Utah Jazz,52,20,8382,7716,1,0,0
2021,WSH,72,34,38,8398,8530,Eastern,27,Washington Wizards,34,38,8398,8530,8,0,0
2022,ATL,82,43,39,9343,9215,Eastern,1,Atlanta Hawks,43,39,9343,9215,8,0,0
2022,BKN,82,44,38,9258,9194,Eastern,17,Brooklyn Nets,44,38,9258,9191,7,0,3
2022,BOS,82,51,31,9164,8567,Eastern,2,Boston Celtics,51,31,9164,8567,2,0,0
2022,CHA,82,43,39,9457,9421,Eastern,30,Charlotte Hornets,43,39,9457,9421,10,0,0
2022,CHI,82,46,36,9152,9184,Eastern,4,Chicago Bulls,46,36,9152,9184,6,0,0
2022,CLE,82,44,38,8839,8665,Eastern,5,Cleveland Cavaliers,44,38,8839,8665,9,0,0
2022,DAL,82,52,30,8858,8587,Western,6,Dallas Mavericks,52,30,8858,8587,4,0,0
2022,DEN,82,48,34,9243,9054,Western,7,Denver Nuggets,48,34,9243,9054,6,0,0
2022,DET,82,23,59,8596,9229,Eastern,8,Detroit Pistons,23,59,8596,9229,14,0,0
2022,GS,82,53,29,9102,8648,Western,9,Golden State Warriors,53,29,9102,8648,3,0,0
2022,HOU,82,20,62,8997,9692,Western,10,Houston Rockets,20,62,8997,9692,15,0,0
2022,IND,82,25,57,9140,9425,Eastern,11,Indiana Pacers,25,57,9140,9425,13,0,0
2022,LAC,82,42,40,8890,8888,Western,12,LA Clippers,42,40,8890,8888,9,0,0
2022,LAL,82,33,49,9192,9442,Western,13,Los Angeles Lakers,33,49,9192,9442,11,0,0
2022,MEM,82,56,26,9480,9014,Western,29,Memphis Grizzlies,56,26,9480,9014,2,0,0
2022,MIA,82,53,29,9022,8657,Eastern,14,Miami Heat,53,29,9019,8657,1,3,0
2022,MIL,82,51,31,9470,9195,Eastern,15,Milwaukee Bucks,51,31,9470,9195,3,0,0
2022,MIN,82,46,36,9507,9291,Western,16,Minnesota Timberwolves,46,36,9509,9291,7,-2,0
2022,NO,82,36,46,8962,9043,Western,3,New Orleans Pelicans,36,46,8962,9043,8,0,0
2022,NY,82,37,45,8731,8741,Eastern,18,New York Knicks,37,45,8731,8741,11,0,0
2022,OKC,82,24,58,8506,9170,Western,25,Oklahoma City Thunder,24,58,8506,9170,14,0,0
2022,ORL,82,22,60,8547,9203,Eastern,19,Orlando Magic,22,60,8547,9203,15,0,0
2022,PHI,82,51,31,9015,8801,Eastern,20,Philadelphia 76ers,51,31,9015,8801,4,0,0
2022,PHX,82,64,18,9416,8801,Western,21,Phoenix Suns,64,18,9416,8803,1,0,-2
2022,POR,82,27,55,8711,9439,Western,22,Portland Trail Blazers,27,55,8711,9439,13,0,0
2022,SA,82,34,48,9279,9269,Western,24,San Antonio Spurs,34,48,9279,9269,10,0,0
2022,SAC,82,30,52,9045,9493,Western,23,Sacramento Kings,30,52,9045,9493,12,0,0
2022,TOR,82,48,34,8970,8782,Eastern,28,Toronto Raptors,48,34,8970,8782,5,0,0
2022,UTAH,82,49,33,9316,8821,Western,26,Utah Jazz,49,33,9316,8821,5,0,0
2022,WSH,82,35,47,8907,9184,Eastern,27,Washington Wizards,35,47,8907,9184,12,0,0
2023,ATL,82,41,41,9711,9687,Eastern,1,Atlanta Hawks,41,41,9711,9687,7,0,0
2023,BKN,82,45,37,9295,9225,Eastern,17,Brooklyn Nets,45,37,9295,9225,6,0,0
2023,BOS,82,57,25,9671,9136,Eastern,2,Boston Celtics,57,25,9671,9136,2,0,0
2023,CHA,82,27,55,9098,9610,Eastern,30,Charlotte Hornets,27,55,9098,9610,14,0,0
2023,CHI,82,40,42,9276,9170,Eastern,4,Chicago Bulls,40,42,9276,9170,9,0,0
2023,CLE,82,51,31,9205,8764,Eastern,5,Cleveland Cavaliers,51,31,9205,8764,4,0,0
2023,DAL,82,38,44,9366,9360,Western,6,Dallas Mavericks,38,44,9366,9360,11,0,0
2023,DEN,82,53,29,9495,9222,Western,7,Denver Nuggets,53,29,9495,9222,1,0,0
2023,DET,82,17,65,9045,9719,Eastern,8,Detroit Pistons,17,65,9045,9719,15,0,0
2023,GS,82,44,38,9753,9605,Western,9,Golden State Warriors,44,38,9753,9605,6,0,0
2023,HOU,82,22,60,9081,9725,Western,10,Houston Rockets,22,60,9081,9725,14,0,0
