Season end,Conference,Team,Regular rank,ESPN seed field,Wins,Losses,recovered from play-in matchup
2021,Eastern,PHI,1,1,49,23,
2021,Eastern,BKN,2,2,48,24,
2021,Eastern,MIL,3,3,46,26,
2021,Eastern,NY,4,4,41,31,
2021,Eastern,ATL,5,5,41,31,
2021,Eastern,MIA,6,6,40,32,
2021,Eastern,BOS,7,7,36,36,7.0
2021,Eastern,WSH,8,8,34,38,8.0
2021,Eastern,IND,9,9,34,38,9.0
2021,Eastern,CHA,10,10,33,39,10.0
2021,Eastern,CHI,11,11,31,41,
2021,Eastern,TOR,12,12,27,45,
2021,Eastern,CLE,13,13,22,50,
2021,Eastern,ORL,14,14,21,51,
2021,Eastern,DET,15,15,20,52,
2021,Western,UTAH,1,1,52,20,
2021,Western,PHX,2,2,51,21,
2021,Western,DEN,3,3,47,25,
2021,Western,LAC,4,4,47,25,
2021,Western,DAL,5,5,42,30,
2021,Western,POR,6,6,42,30,
2021,Western,LAL,7,7,42,30,7.0
2021,Western,GS,8,9,39,33,8.0
2021,Western,MEM,9,8,38,34,9.0
2021,Western,SA,10,10,33,39,10.0
2021,Western,NO,11,11,31,41,
2021,Western,SAC,12,12,31,41,
2021,Western,MIN,13,13,23,49,
2021,Western,OKC,14,14,22,50,
2021,Western,HOU,15,15,17,55,
2022,Eastern,MIA,1,1,53,29,
2022,Eastern,BOS,2,2,51,31,
2022,Eastern,MIL,3,3,51,31,
2022,Eastern,PHI,4,4,51,31,
2022,Eastern,TOR,5,5,48,34,
2022,Eastern,CHI,6,6,46,36,
2022,Eastern,BKN,7,7,44,38,7.0
2022,Eastern,CLE,8,9,44,38,8.0
2022,Eastern,ATL,9,8,43,39,9.0
2022,Eastern,CHA,10,10,43,39,10.0
2022,Eastern,NY,11,11,37,45,
2022,Eastern,WSH,12,12,35,47,
2022,Eastern,IND,13,13,25,57,
2022,Eastern,DET,14,14,23,59,
2022,Eastern,ORL,15,15,22,60,
2022,Western,PHX,1,1,64,18,
2022,Western,MEM,2,2,56,26,
2022,Western,GS,3,3,53,29,
2022,Western,DAL,4,4,52,30,
2022,Western,UTAH,5,5,49,33,
2022,Western,DEN,6,6,48,34,
2022,Western,MIN,7,7,46,36,7.0
2022,Western,LAC,8,9,42,40,8.0
2022,Western,NO,9,8,36,46,9.0
2022,Western,SA,10,10,34,48,10.0
2022,Western,LAL,11,11,33,49,
2022,Western,SAC,12,12,30,52,
2022,Western,POR,13,13,27,55,
2022,Western,OKC,14,14,24,58,
2022,Western,HOU,15,15,20,62,
2023,Eastern,MIL,1,1,58,24,
2023,Eastern,BOS,2,2,57,25,
2023,Eastern,PHI,3,3,54,28,
2023,Eastern,CLE,4,4,51,31,
2023,Eastern,NY,5,5,47,35,
2023,Eastern,BKN,6,6,45,37,
2023,Eastern,MIA,7,8,44,38,7.0
2023,Eastern,ATL,8,7,41,41,8.0
2023,Eastern,TOR,9,10,41,41,9.0
2023,Eastern,CHI,10,9,40,42,10.0
2023,Eastern,IND,11,11,35,47,
2023,Eastern,WSH,12,12,35,47,
2023,Eastern,ORL,13,13,34,48,
2023,Eastern,CHA,14,14,27,55,
2023,Eastern,DET,15,15,17,65,
2023,Western,DEN,1,1,53,29,
2023,Western,MEM,2,2,51,31,
2023,Western,SAC,3,3,48,34,
2023,Western,PHX,4,4,45,37,
2023,Western,LAC,5,5,44,38,
2023,Western,GS,6,6,44,38,
2023,Western,LAL,7,7,43,39,7.0
2023,Western,MIN,8,8,42,40,8.0
2023,Western,NO,9,10,42,40,9.0
2023,Western,OKC,10,9,40,42,10.0
2023,Western,DAL,11,11,38,44,
2023,Western,UTAH,12,12,37,45,
2023,Western,POR,13,13,33,49,
2023,Western,HOU,14,14,22,60,
2023,Western,SA,15,15,22,60,
2024,Eastern,BOS,1,1,64,18,
2024,Eastern,NY,2,2,50,32,
2024,Eastern,MIL,3,3,49,33,
2024,Eastern,CLE,4,4,48,34,
2024,Eastern,ORL,5,5,47,35,
2024,Eastern,IND,6,6,47,35,
