season,spec,window,train_first,train_last,train_games,beta,h,beta_se,h_se,converged,role
2021,srs,1,2020,2020,750,0.09791386439298767,0.1875314886342487,0.01152919104774703,0.08317626375730011,True,sensitivity window
2021,srs,2,2019,2020,1672,0.10818234067291278,0.3178621205145572,0.008229570066465202,0.05445921093475463,True,sensitivity window
2021,srs,3,2018,2020,2593,0.11481986829658332,0.3378049524407281,0.00698915679199657,0.04337549516171587,True,prespecified baseline
2022,srs,1,2021,2021,769,0.11535261242074536,0.23867130977764575,0.012968743996055238,0.07732856600364074,True,sensitivity window
2022,srs,2,2020,2021,1519,0.105849173241959,0.21513795883909256,0.008626484693547709,0.056589203178983985,True,sensitivity window
2022,srs,3,2019,2021,2441,0.11015713326278033,0.2917940451405316,0.006948821795434723,0.044505677416217575,True,prespecified baseline
2023,srs,1,2022,2022,922,0.11113392388734289,0.17674080287354063,0.011887664351945803,0.0699541978987285,True,sensitivity window
2023,srs,2,2021,2022,1691,0.11304190417458708,0.20467197154700464,0.00876057241859512,0.05186742178929583,True,sensitivity window
2023,srs,3,2020,2022,2441,0.10765247961534467,0.19999667480768585,0.006982067024921848,0.04398881500105813,True,prespecified baseline
2024,srs,1,2023,2023,922,0.10707414718842598,0.31283629319899947,0.014097557027464564,0.06922532652238164,True,sensitivity window
2024,srs,2,2022,2023,1844,0.10940776324896435,0.24598036978066742,0.009083080621020085,0.04917310726688709,True,sensitivity window
2024,srs,3,2021,2023,2613,0.11138537378326847,0.24392156856634237,0.007437739963424508,0.04149324782421243,True,prespecified baseline
2025,srs,1,2024,2024,923,0.11726928197611478,0.1718646720474552,0.010530502414406884,0.0721119824226602,True,sensitivity window
2025,srs,2,2023,2024,1845,0.11386048853535373,0.2457387313255598,0.008415192896986971,0.04992483815370829,True,sensitivity window
2025,srs,3,2022,2024,2767,0.11289078930596157,0.2224923801177229,0.006865786403750499,0.040626940572387374,True,prespecified baseline
2021,bt,1,2020,2020,750,0.8026716245701507,0.184613539635868,0.0931753089443245,0.08324851995048467,True,sensitivity window
2021,bt,2,2019,2020,1672,0.906442541972681,0.31455919493839374,0.0688040261667996,0.05440552823549491,True,sensitivity window
2021,bt,3,2018,2020,2593,0.9449186468800863,0.33422279968571805,0.05726067119958058,0.04335377452782485,True,prespecified baseline
2022,bt,1,2021,2021,769,1.0977682664385835,0.2322079876494467,0.1261309275251423,0.0770427575578054,True,sensitivity window
2022,bt,2,2020,2021,1519,0.9129993003675517,0.21038669136212326,0.07538631988198793,0.05642491201469255,True,sensitivity window
2022,bt,3,2019,2021,2441,0.9504089660529128,0.28736149926299337,0.06049588462039028,0.04439379313067901,True,prespecified baseline
2023,bt,1,2022,2022,922,0.9237038594121115,0.17696131971020257,0.10196747219941082,0.06968197980045414,True,sensitivity window
2023,bt,2,2021,2022,1691,0.9946641474312816,0.2020351685407569,0.07939703020299797,0.051656804890868324,True,sensitivity window
2023,bt,3,2020,2022,2441,0.9166813330971278,0.19715154782627203,0.0606213172897709,0.043848283802121746,True,prespecified baseline
2024,bt,1,2023,2023,922,0.912095719189438,0.3086814363208959,0.1172774313128664,0.06929033256532617,True,sensitivity window
2024,bt,2,2022,2023,1844,0.9186811891662185,0.2435313438209217,0.07693544652470465,0.04910732252911807,True,sensitivity window
2024,bt,3,2021,2023,2613,0.9687599043933848,0.24041400699265622,0.06569080769350814,0.04139853382936451,True,prespecified baseline
2025,bt,1,2024,2024,923,0.999162251916958,0.16266138320557796,0.0902576852216982,0.07205210699105166,True,sensitivity window
2025,bt,2,2023,2024,1845,0.9683851567837861,0.2389814609151335,0.07127794639917477,0.049923986378212104,True,sensitivity window
2025,bt,3,2022,2024,2767,0.9535783678834585,0.21798981263634584,0.058383202876268726,0.040576868370151016,True,prespecified baseline
