season,east,west,rule,east_hosts
2021,CHA,SA,record against the opposite conference,0.0
2022,MIA,GS,head-to-head record,0.0
2022,TOR,DEN,record against the opposite conference,0.0
2022,CHI,MIN,head-to-head record,1.0
2023,CLE,MEM,record against the opposite conference,0.0
2023,BKN,PHX,head-to-head record,0.0
2023,MIA,LAC,head-to-head record,1.0
2023,MIA,GS,record against the opposite conference,1.0
2023,CHI,OKC,head-to-head record,0.0
2024,NY,DAL,head-to-head record,0.0
2024,MIL,PHX,record against the opposite conference,0.0
2024,MIL,NO,record against the opposite conference,0.0
2024,ORL,LAL,record against the opposite conference,0.0
2024,IND,LAL,record against the opposite conference,0.0
2024,PHI,LAL,record against the opposite conference,0.0
2024,MIA,SAC,head-to-head record,1.0
2024,MIA,GS,record against the opposite conference,0.0
2025,IND,LAL,head-to-head record,0.0
2025,IND,DEN,record against the opposite conference,1.0
2025,IND,LAC,head-to-head record,1.0
2025,MIL,GS,head-to-head record,0.0
2025,MIL,MEM,head-to-head record,0.0
2025,ATL,SAC,record against the opposite conference,0.0
2025,CHI,DAL,head-to-head record,0.0
