season,conference,state,seed7,seed8,probability
2021,Eastern,1,BOS,WSH,0.37013030104457945
2021,Eastern,2,BOS,IND,0.19677540910750826
2021,Eastern,3,BOS,CHA,0.10142299785444228
2021,Eastern,4,WSH,BOS,0.21247572645040796
2021,Eastern,5,WSH,IND,0.07913495917247708
2021,Eastern,6,WSH,CHA,0.04006060637058498
2021,Western,1,LAL,GS,0.3832883452514444
2021,Western,2,LAL,MEM,0.17138450082202195
2021,Western,3,LAL,SA,0.07461698728036405
2021,Western,4,GS,LAL,0.24221305823180728
2021,Western,5,GS,MEM,0.0898831171038584
2021,Western,6,GS,SA,0.03861399131050392
2022,Eastern,1,BKN,CLE,0.3215767917839747
2022,Eastern,2,BKN,ATL,0.13410171140135405
2022,Eastern,3,BKN,CHA,0.08360595719757835
2022,Eastern,4,CLE,BKN,0.2596667364986151
2022,Eastern,5,CLE,ATL,0.12366483673948647
2022,Eastern,6,CLE,CHA,0.07738396637899131
2022,Western,1,MIN,LAC,0.37357751025619923
2022,Western,2,MIN,NO,0.14083788458904772
2022,Western,3,MIN,SA,0.12224576092598467
2022,Western,4,LAC,MIN,0.23621825752012654
2022,Western,5,LAC,NO,0.06786200201168
2022,Western,6,LAC,SA,0.05925858469696187
2023,Eastern,1,MIA,ATL,0.27878957909401547
2023,Eastern,2,MIA,TOR,0.1447655801449558
2023,Eastern,3,MIA,CHI,0.1142469380676849
2023,Eastern,4,ATL,MIA,0.23399718094457878
2023,Eastern,5,ATL,TOR,0.12752795506942335
2023,Eastern,6,ATL,CHI,0.1006727666793417
2023,Western,1,LAL,MIN,0.28804528867863366
2023,Western,2,LAL,NO,0.16079679401142033
2023,Western,3,LAL,OKC,0.11811886618778226
2023,Western,4,MIN,LAL,0.22751489664509633
2023,Western,5,MIN,NO,0.11854860563878164
2023,Western,6,MIN,OKC,0.08697554883828583
2024,Eastern,1,PHI,MIA,0.38552350418203196
2024,Eastern,2,PHI,CHI,0.12551812843140905
2024,Eastern,3,PHI,ATL,0.08792059556632685
2024,Eastern,4,MIA,PHI,0.2722394297553854
2024,Eastern,5,MIA,CHI,0.075817853283572
2024,Eastern,6,MIA,ATL,0.0529804887812747
2024,Western,1,NO,LAL,0.33892373724458635
2024,Western,2,NO,SAC,0.16851198745230067
2024,Western,3,NO,GS,0.14305608769446732
2024,Western,4,LAL,NO,0.21436736347963156
2024,Western,5,LAL,SAC,0.07292766300489481
2024,Western,6,LAL,GS,0.06221316112411929
2025,Eastern,1,ORL,ATL,0.31052949969626037
2025,Eastern,2,ORL,CHI,0.12480772547369019
2025,Eastern,3,ORL,MIA,0.13986865785282063
2025,Eastern,4,ATL,ORL,0.23778027693852932
2025,Eastern,5,ATL,CHI,0.087983139256912
2025,Eastern,6,ATL,MIA,0.09903070078178748
2025,Western,1,GS,MEM,0.35453795564498725
2025,Western,2,GS,SAC,0.10245172318241282
2025,Western,3,GS,DAL,0.06375302435021254
2025,Western,4,MEM,GS,0.31143522500834014
2025,Western,5,MEM,SAC,0.10326529789028291
2025,Western,6,MEM,DAL,0.06455677392376433
