analysis,variant,season,target_team,target_rule,old,playin,difference,expected_champion_old,expected_champion_playin,field_sum_old,field_sum_playin
data discrepancies,ratings forced to the ESPN standings scoring totals,2021,UTAH,strongest under this variant,0.38886711486556536,0.3861142357131926,-0.002752879152372767,6.573759820689263,6.561851488720535,52.133333333333326,51.701686852128006
data discrepancies,ratings forced to the ESPN standings scoring totals,2022,BOS,strongest under this variant,0.26228110568119506,0.2553833529910328,-0.00689775269016224,5.683458179772392,5.663251358200649,53.2903016047244,52.642747237797636
data discrepancies,ratings forced to the ESPN standings scoring totals,2023,BOS,strongest under this variant,0.26715807406329123,0.26478685681504216,-0.002371217248249069,4.191353989264619,4.177919564953632,36.989797864464435,38.29038268953524
data discrepancies,ratings forced to the ESPN standings scoring totals,2024,BOS,strongest under this variant,0.5778353796178806,0.5839696885002552,0.0061343088823746506,8.602246841871148,8.612686391522526,60.61256347229815,59.55374939319039
data discrepancies,ratings forced to the ESPN standings scoring totals,2025,OKC,strongest under this variant,0.5570488192785957,0.5778425197747922,0.020793700496196443,10.46502309338039,10.585208433800826,65.52282556000183,64.29604396487404
data discrepancies,archive date defect corrected (game 401161536 moved to 2020-02-29),2021,UTAH,baseline SRS strongest team,0.388859058343111,0.3860996819962301,-0.002759376346880893,6.573544506498357,6.561684477008046,52.160000000000004,51.72005906907509
data discrepancies,archive date defect corrected (game 401161536 moved to 2020-02-29),2022,BOS,baseline SRS strongest team,0.2618676785468635,0.25477145232098647,-0.0070962262258770226,5.694412288181645,5.673756371778209,53.289059897312015,52.65123514712791
data discrepancies,archive date defect corrected (game 401161536 moved to 2020-02-29),2023,BOS,baseline SRS strongest team,0.26714196770060433,0.26477067008157673,-0.0023712976190276014,4.191258127912885,4.177824180468441,36.989797864464435,38.29038578115635
data discrepancies,archive date defect corrected (game 401161536 moved to 2020-02-29),2024,BOS,baseline SRS strongest team,0.5777229261428682,0.5837762411961143,0.006053315053246022,8.60152164738886,8.611481030444867,60.64705254588224,59.58428924932969
data discrepancies,archive date defect corrected (game 401161536 moved to 2020-02-29),2025,OKC,baseline SRS strongest team,0.5567780167077634,0.5775640774459249,0.02078606073816147,10.467250423436589,10.587228451622654,65.52268866602944,64.29603118783103
