analysis,variant,season,target_team,target_rule,old,playin,difference,expected_champion_old,expected_champion_playin,field_sum_old,field_sum_playin
Finals hosting,"NBA rule (record, then head-to-head, then opposite conference)",2021,UTAH,baseline SRS strongest team,0.3888833968840647,0.38612359892448,-0.0027597979595846978,6.573678419570365,6.561816496848489,52.160000000000004,51.72011470347235
Finals hosting,"NBA rule (record, then head-to-head, then opposite conference)",2022,BOS,baseline SRS strongest team,0.26188125561490405,0.25478464187532185,-0.007096613739582203,5.694513501991287,5.673855881666177,53.289059897312015,52.6512611604958
Finals hosting,"NBA rule (record, then head-to-head, then opposite conference)",2023,BOS,baseline SRS strongest team,0.26715807406329123,0.26478685681504216,-0.002371217248249069,4.191353989264619,4.177919564953632,36.989797864464435,38.29038268953524
Finals hosting,"NBA rule (record, then head-to-head, then opposite conference)",2024,BOS,baseline SRS strongest team,0.5777229261428682,0.5837762411961143,0.006053315053246022,8.60152164738886,8.611481030444867,60.64705254588224,59.58428924932969
Finals hosting,"NBA rule (record, then head-to-head, then opposite conference)",2025,OKC,baseline SRS strongest team,0.5567780167077634,0.5775640774459249,0.02078606073816147,10.467250423436589,10.587228451622654,65.52268866602944,64.29603118783103
Finals hosting,workbook pilot assumption: ties averaged 50/50,2021,UTAH,baseline SRS strongest team,0.3888833968840647,0.38612359892448,-0.0027597979595846978,6.573678419570365,6.561816496066616,52.160000000000004,51.72011470347235
Finals hosting,workbook pilot assumption: ties averaged 50/50,2022,BOS,baseline SRS strongest team,0.26188125561490405,0.25478464187532185,-0.007096613739582203,5.693553262199906,5.67282492112136,53.289059897312015,52.6512611604958
Finals hosting,workbook pilot assumption: ties averaged 50/50,2023,BOS,baseline SRS strongest team,0.26715807406329123,0.26478685681504216,-0.002371217248249069,4.192597871500475,4.179176016039726,36.989797864464435,38.29038268953524
Finals hosting,workbook pilot assumption: ties averaged 50/50,2024,BOS,baseline SRS strongest team,0.5777229261428682,0.5837762411961143,0.006053315053246022,8.601559224052062,8.611523889371615,60.64705254588224,59.58428924932969
Finals hosting,workbook pilot assumption: ties averaged 50/50,2025,OKC,baseline SRS strongest team,0.5567780167077634,0.5775640774459249,0.02078606073816147,10.467267495010164,10.587243417500778,65.52268866602944,64.29603118783103
Finals hosting,every tie given to the Eastern team,2021,UTAH,baseline SRS strongest team,0.3888833968840647,0.38612359892448,-0.0027597979595846978,6.573678419570365,6.5618164952847415,52.160000000000004,51.72011470347235
Finals hosting,every tie given to the Eastern team,2022,BOS,baseline SRS strongest team,0.26188125561490405,0.25478464187532185,-0.007096613739582203,5.69253431226511,5.671744583669435,53.289059897312015,52.6512611604958
Finals hosting,every tie given to the Eastern team,2023,BOS,baseline SRS strongest team,0.26715807406329123,0.26478685681504216,-0.002371217248249069,4.193767146273955,4.1803721698124905,36.989797864464435,38.29038268953524
Finals hosting,every tie given to the Eastern team,2024,BOS,baseline SRS strongest team,0.5777229261428682,0.5837762411961143,0.006053315053246022,8.601596800715262,8.61156359453471,60.64705254588224,59.58428924932969
Finals hosting,every tie given to the Eastern team,2025,OKC,baseline SRS strongest team,0.5567780167077634,0.5775640774459249,0.02078606073816147,10.467172935333366,10.587154768286146,65.52268866602944,64.29603118783103
Finals hosting,every tie given to the Western team,2021,UTAH,baseline SRS strongest team,0.3888833968840647,0.38612359892448,-0.0027597979595846978,6.573678419570365,6.561816496848489,52.160000000000004,51.72011470347235
Finals hosting,every tie given to the Western team,2022,BOS,baseline SRS strongest team,0.26188125561490405,0.25478464187532185,-0.007096613739582203,5.6945722121347035,5.673905258573288,53.289059897312015,52.6512611604958
Finals hosting,every tie given to the Western team,2023,BOS,baseline SRS strongest team,0.26715807406329123,0.26478685681504216,-0.002371217248249069,4.191428596726994,4.177979862266961,36.989797864464435,38.29038268953524
Finals hosting,every tie given to the Western team,2024,BOS,baseline SRS strongest team,0.5777229261428682,0.5837762411961143,0.006053315053246022,8.60152164738886,8.61148418420852,60.64705254588224,59.58428924932969
Finals hosting,every tie given to the Western team,2025,OKC,baseline SRS strongest team,0.5567780167077634,0.5775640774459249,0.02078606073816147,10.467362054686962,10.587332066715412,65.52268866602944,64.29603118783103
